DIAG_PRINC,TOTAL_OCORRENCIAS,valor_total,idade_media,sexo_majoritario,total_masculino,total_feminino,total_ignorado,descricao_cid
O800,25098,15532183.35,26.423181129970516,Feminino,9,25089,0,Parto unico espontaneo
J189,19045,25255719.74,57.34187450774481,Feminino,9499,9546,0,Pneumonia por microorganismo nao especificada
I64 ,13728,21842001.54,67.76129079254079,Masculino,7088,6640,0,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico"
J180,12878,15641470.06,49.7702282963193,Feminino,6433,6445,0,Pneumonia por microorganismo nao especificada
A419,12799,46674712.48,61.9322603328385,Masculino,6444,6355,0,Outras septicemias
O820,11606,9682318.31,27.980354988798897,Feminino,3,11603,0,Parto unico por cesariana
I219,11536,64428212.24,64.22382108183079,Masculino,7300,4236,0,Infarto agudo do miocardio
A499,11413,30214818.83,54.2799439235959,Masculino,5913,5500,0,Infeccao bacteriana de localizacao nao especificada
N390,10860,6200811.45,57.22707182320442,Feminino,4016,6844,0,Outros transtornos do trato urinario
I500,8240,18595920.080000002,70.28167475728155,Masculino,4161,4079,0,Insuficiencia cardiaca
K409,8043,6514641.58,55.02872062663185,Masculino,7169,874,0,Hernia inguinal
Z302,7964,5087646.68,34.8328729281768,Feminino,3372,4592,0,Anticoncepcao
J159,7603,9462652.0,53.37090622122846,Feminino,3792,3811,0,Pneumonia bacteriana nao classificada em outra parte
K359,7281,4504774.63,29.601977750309022,Masculino,4013,3268,0,Apendicite aguda
L989,7211,1998979.6099999999,51.99625572042712,Feminino,3496,3715,0,Outras afeccoes da pele e do tecido subcutaneo nao classificadas em outra parte
I509,7165,13757270.35,69.82958827634333,Masculino,3651,3514,0,Insuficiencia cardiaca
K802,6287,7706853.8100000005,49.48401463337045,Feminino,1343,4944,0,Colelitiase
I200,5969,39701874.6,64.41715530239571,Masculino,3682,2287,0,Angina pectoris
F192,5906,4018016.17,34.153741957331526,Masculino,4692,1214,0,Transtornos mentais e comportamentais devidos ao uso de multiplas drogas e ao uso de outras substancias psicoativas
A90 ,5460,2249168.65,47.1554945054945,Feminino,2448,3012,0,Dengue [dengue classico]
J449,4746,5561234.75,70.25474083438685,Masculino,2447,2299,0,Outras doencas pulmonares obstrutivas cronicas
J459,4481,3242631.73,13.270029011381387,Feminino,2226,2255,0,Asma
K808,4276,4696353.19,49.84424695977549,Feminino,1068,3208,0,Colelitiase
O809,4269,2489058.54,26.70555165144062,Feminino,2,4267,0,Parto unico espontaneo
F102,4148,3800377.68,49.82208293153327,Masculino,3689,459,0,Transtornos mentais e comportamentais devidos ao uso de alcool
R02 ,4014,5393836.07,54.47583457897359,Masculino,2671,1343,0,Gangrena nao classificada em outra parte
K810,3988,4285969.18,50.88991975927783,Feminino,1369,2619,0,Colecistite
I839,3832,2949032.23,53.516179540709814,Feminino,1004,2828,0,Varizes dos membros inferiores
N189,3724,13874157.18,61.8796992481203,Masculino,2089,1635,0,Insuficiencia renal cronica
N179,3678,7028150.79,65.14165307232192,Masculino,2091,1587,0,Insuficiencia renal aguda
K800,3658,4157992.53,49.54483324220886,Feminino,1121,2537,0,Colelitiase
S525,3597,1505692.14,46.66305254378649,Feminino,1640,1957,0,Fratura do antebraco
J218,3406,2151559.6,5.419847328244275,Masculino,2047,1359,0,Bronquiolite aguda
F200,3406,4327580.16,40.83529066353494,Masculino,2443,963,0,Esquizofrenia
O998,3405,1002057.52,28.183847283406756,Feminino,2,3403,0,"Outras doencas da mae, classificadas em outra parte, mas que complicam a gravidez o parto e o puerperio"
K429,3227,1816274.22,47.965602726991015,Masculino,1877,1350,0,Hernia umbilical
A418,3215,12427212.39,59.320373250388805,Feminino,1534,1681,0,Outras septicemias
J219,3177,2065783.85,8.568460812086874,Masculino,1803,1374,0,Bronquiolite aguda
J960,3174,12719528.73,54.60491493383743,Masculino,1703,1471,0,Insuficiencia respiratoria nao classificada de outra parte
S720,3105,10297497.44,74.22383252818035,Feminino,1013,2092,0,Fratura do femur
